player_name,season,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Alan Henderson,2006,33.0,51,2.5,2.7,0.2,-3.4,0.128,0.17,0.118,0.564,0.032
Alan Henderson,2007,34.0,38,3.1,2.8,0.3,-1.3,0.133,0.172,0.109,0.679,0.036
Alan Williams,2016,23.0,10,2.9,3.8,0.5,-0.2,0.184,0.387,0.201,0.481,0.096
Alan Williams,2017,24.0,47,7.4,6.2,0.5,-0.3,0.138,0.293,0.206,0.547,0.049
Alan Williams,2018,25.0,5,4.0,4.4,1.6,0.1,0.039,0.26,0.184,0.455,0.195
Alan Williams,2019,26.0,5,3.6,3.8,0.6,27.1,0.114,0.405,0.222,0.61,0.176
Alando Tucker,2008,24.0,6,3.7,1.3,0.0,-0.2,0.089,0.068,0.25,0.446,0.0
Alando Tucker,2009,25.0,30,4.6,1.0,0.4,2.1,0.07,0.048,0.216,0.509,0.064
Alando Tucker,2010,26.0,15,3.4,0.7,0.3,-18.9,0.065,0.043,0.243,0.529,0.077
Alec Burks,2012,20.0,59,7.2,2.2,0.9,-2.3,0.067,0.091,0.218,0.506,0.1
Alec Burks,2013,21.0,64,7.0,2.3,1.4,3.8,0.038,0.111,0.2,0.507,0.127
Alec Burks,2014,22.0,78,14.0,3.3,2.7,-7.4,0.03,0.108,0.235,0.547,0.168
Alec Burks,2015,23.0,27,13.9,4.2,3.0,-7.4,0.025,0.127,0.21,0.524,0.145
Alec Burks,2016,24.0,31,13.3,3.5,2.0,-2.0,0.023,0.139,0.251,0.52,0.14
Alec Burks,2017,25.0,42,6.7,2.9,0.7,0.1,0.0289999999999999,0.18,0.2189999999999999,0.501,0.074
Alec Burks,2018,26.0,64,7.7,3.0,1.0,-1.0,0.019,0.168,0.221,0.527,0.104
Alec Burks,2019,27.0,64,8.8,3.7,2.0,-11.1,0.021,0.151,0.185,0.523,0.142
Alec Burks,2020,28.0,66,15.0,4.3,2.9,-6.3,0.025,0.131,0.23,0.561,0.179
Alec Burks,2021,29.0,49,12.7,4.6,2.2,5.0,0.016,0.156,0.208,0.564,0.135
Alec Burks,2022,30.0,81,11.7,4.9,3.0,2.3,0.019,0.148,0.171,0.5589999999999999,0.158
Alec Burks,2023,31.0,51,12.8,3.1,2.2,-1.0,0.017,0.124,0.218,0.602,0.15
Alec Peters,2018,23.0,20,4.1,1.9,0.6,7.3,0.032,0.12,0.151,0.523,0.073
Aleem Ford,2022,24.0,5,2.8,3.0,0.4,-22.1,0.0279999999999999,0.16,0.148,0.35,0.043
Alekesej Pokusevski,2022,20.0,61,7.6,5.2,2.1,-2.5,0.054,0.1889999999999999,0.195,0.485,0.161
Aleksandar Djordjevic,1997,29.0,8,3.1,0.6,0.6,4.8,0.021,0.07,0.179,0.687,0.135
